JSON_Name1,alcohol,chlorides,citricacid,density,fixedacidity,freesulfurdioxide,id,ph,quality,residualsugar,sulphates,totalsulfurdioxide,volatileacidity,winetype
457,12.5,0.043,0.28,0.98918,6.1,24,458,3.14,6,1.7,0.44,98,0.26,white
77,8.6,0.041,0.69,0.9977,7.3,58,78,3.06,5,10.2,0.45,160,0.31,white
4373,9.1,0.058,0.28,0.9952,6.9,14,4374,3.29,6,5,0.36,146,0.19,white
4926,9.4,0.06,0.26,0.9969,6.9,55,4927,3.21,5,10.9,0.44,193,0.56,white
2194,9.6,0.055,0.34,0.9945,7.5,50,2195,3.29,6,1.3,0.8,153,0.14,white
5197,12.6,0.029,0.28,0.9906,7.6,7,5198,3,6,4.2,0.41,112,0.38,white
3070,9.6,0.047,0.3,0.99705,6.8,69,3071,3.16,6,13,0.5,160,0.27,white
1328,9.7,0.084,0.49,0.9987,9,21,1329,3.35,5,2.6,0.57,75,0.45,red
2280,12.8,0.033,0.3,0.98912,6,41,2281,3.29,7,1.9,0.42,142,0.32,white
4793,9.9,0.043,0.37,0.99632,6.7,64,4794,3.08,6,11.3,0.53,173,0.24,white
1505,12.6,0.023,0.32,0.99262,6.7,20,1506,3.34,6,9,0.35,109,0.24,white
5112,9.5,0.222,0.36,0.998,8.3,6,5113,3.18,6,1.8,0.6,16,0.49,red
1647,10.8,0.083,0.36,0.9942,7,10,1648,3.33,6,4.9,0.37,133,0.24,white
281,9.2,0.052,0.34,0.99627,7.4,44,282,3.11,5,8.3,0.52,168,0.38,white
1093,13,0.031,0.34,0.98854,5.3,3,1094,3.27,6,1.4,0.38,60,0.6,white
5727,10.6,0.086,0.03,0.99522,6.9,36,5728,3.53,5,1.5,0.57,46,0.56,red
1381,9.8,0.069,0.21,0.99458,7.7,4,1382,3.16,6,1.5,0.54,9,0.57,red
4149,11.5,0.04,0.32,0.9916,7.5,51,4150,3.21,7,1.7,0.44,148,0.17,white
6331,9.9,0.051,0.28,0.9962,6.5,86,6332,3.16,6,12.4,0.51,213,0.35,white
2551,12.2,0.031,0.22,0.99076,7.2,10,2552,2.97,7,4.5,0.52,73,0.33,white
3330,11.2,0.033,0.29,0.99132,6.9,14,3331,3.1,7,2.3,0.58,82,0.15,white
3265,9.6,0.062,0.34,0.9966,7.6,40,3266,3.21,5,9.3,0.39,126,0.13,white
3599,8.7,0.05,0.27,0.9984,7.4,25,3600,2.9,7,15.5,0.43,135,0.16,white
676,9.5,0.064,0.19,0.99297,6.5,36,677,3.05,6,1.1,0.5,191,0.22,white
2576,9,0.067,0.36,0.9976,7.4,53,2577,3.01,6,13.2,0.48,178,0.25,white
5800,9.2,0.047,0.24,0.99604,6.4,41,5801,3.11,5,7.2,0.6,151,0.38,white
2452,9.4,0.073,0.12,0.9993,6.9,40,2453,3.45,6,10.7,0.52,83,0.605,red
6303,12.2,0.094,0.46,0.99639,9.4,3,6304,3.27,7,4.6,0.64,10,0.395,red
6016,11.9,0.085,0.3,0.99346,7,6,6017,3.33,6,2,0.46,39,0.43,red
1829,9.4,0.042,0.49,0.99855,8.2,58,1830,3.1,5,13.6,0.54,166,0.38,white
5758,11,0.032,0.18,0.99114,5,40,5759,3.18,6,4.6,0.4,124,0.33,white
1382,11.7,0.033,0.27,0.99086,6.7,25,1383,3.05,6,2.6,0.34,85,0.41,white
5008,9.5,0.041,0.26,0.99509,7,21,5009,3.22,6,7.2,0.55,90,0.23,white
5778,11.3,0.038,0.36,0.9923,6.1,20,5779,3.37,6,2,0.79,249.5,0.18,white
2453,9.7,0.084,0.11,0.99578,10,8,2454,2.88,5,1.4,0.47,24,0.69,red
3660,8.8,0.09,0.26,0.9944,7.3,7,3661,3.01,5,3.3,0.52,135,0.51,white
2380,10.1,0.046,0.3,0.993,6.6,32,2381,3.42,7,1.6,0.51,134,0.25,white
2892,12.7,0.042,0.27,0.98952,6,19,2893,3.32,7,2.3,0.41,120,0.31,white
4003,12.2,0.032,0.44,0.9907,7.1,32,4004,3.25,7,1.8,0.48,107,0.28,white
2772,10.6,0.031,0.34,0.9927,6.8,34,2773,3.21,6,4.7,0.38,134,0.25,white
439,9.5,0.05,0.02,0.9962,6.8,5,440,3.48,5,1.8,0.52,11,0.67,red
1052,10,0.058,0.31,0.9931,7.4,38,1053,3.16,7,1.4,0.53,167,0.18,white
5074,12.9,0.044,0,0.99264,5.1,14,5075,3.56,7,1.7,0.94,86,0.585,red
1516,11.9,0.017,0.52,0.9929,7.7,21,1517,3.14,7,5.9,0.4,84,0.17,white
2693,11.8,0.031,0.24,0.99098,7.5,5,2694,3.01,4,3.85,0.36,34,0.34,white
4843,9.4,0.039,0.4,0.99582,6.5,74,4844,3.18,5,10,0.5,227,0.27,white
5923,8.7,0.05,0.23,0.9985,7.3,49,5924,3.2,5,13.7,0.46,197,0.32,white
3077,12.9,0.023,0.46,0.98865,6.5,6,3078,3.15,6,1,0.54,80,0.34,white
4050,12.3,0.03,0.49,0.9903,7.1,30,4051,3.13,7,3,0.39,96,0.25,white
1055,10.2,0.068,0.3,0.99914,7,20,1056,3.3,5,4.5,1.17,110,0.6,red
4338,10.8,0.032,0.4,0.99629,7.4,13,4339,3.01,4,11.9,0.46,92,0.28,white
5948,11.3,0.103,0.54,0.99939,12.6,19,5949,3.21,6,2.8,0.76,41,0.41,red
4533,9.6,0.06,0.45,0.9972,10.8,20,4534,3.13,5,3.3,0.54,49,0.26,red
1701,9.9,0.051,0.28,0.9962,6.5,86,1702,3.16,6,12.4,0.51,213,0.35,white
4199,9.2,0.06,0.14,0.99344,6.1,27,4200,3.07,4,3.9,0.34,113,0.38,white
3047,12.1,0.038,0.34,0.99248,6.3,44,3048,3.26,6,8.1,0.29,129,0.28,white
1085,10.4,0.121,0.24,0.99508,7.3,32,1086,3.17,8,8.1,0.38,162,0.17,white
165,9.9,0.044,0.27,0.99454,6.8,45,166,3.2,6,8.6,0.37,104,0.11,white
5666,10.1,0.059,0.24,0.99773,5.7,23,5667,3.3,5,17.8,0.5,124,0.26,white
6173,12.2,0.031,0.37,0.9897,6.3,6,6174,3.3,4,1.8,0.34,61,0.24,white
1544,10.2,0.048,0.49,0.9987,9,52,1545,3.31,6,10.4,0.44,195,0.22,white
2781,12.5,0.027,0.21,0.9894,5.1,15,2782,3.5,6,1.7,0.45,72,0.39,white
5613,10.7,0.024,0.26,0.9948,6.9,36,5614,3.16,7,5.2,0.72,135,0.25,white
3122,11.4,0.048,0.17,0.991,6.1,46,3123,3.3,6,1.6,0.43,129,0.2,white
4578,9.7,0.036,0.13,0.9996,8,49,4579,2.96,5,17.2,0.46,219,0.25,white
2820,9,0.226,0.24,0.9991,8.7,5,2821,3.32,6,2.5,0.6,15,0.7,red
4225,10.1,0.059,0.46,0.9966,8.7,11,4226,3.36,6,1.4,0.76,25,0.31,red
2363,9.7,0.043,0.35,0.99632,6.4,40,2364,3.16,6,10.2,0.5,106,0.19,white
4622,9.3,0.168,0.47,0.9984,7.4,42,4623,2.9,5,14.15,0.49,185,0.64,white
860,11.3,0.031,0.24,0.9948,7.7,41,861,3.12,7,11.2,0.43,167,0.44,white
5919,10,0.037,0.32,0.993,7.1,28,5920,3.2,7,2.2,0.57,141,0.21,white
4773,10.6,0.057,0.24,0.99519,6.7,64,4774,3.12,6,10.3,0.5,185,0.18,white
3559,12.3,0.098,0.42,0.99506,8.2,3,3560,3.27,6,2.3,0.55,9,0.32,red
5703,11.2,0.078,0.33,0.9957,7.6,6,5704,3.3,5,2.5,0.58,23,0.41,red
4193,11.5,0.034,0.31,0.99084,6.4,53,4194,3.38,7,1.2,0.35,138,0.14,white
4248,10.7,0.093,0.49,1.0002,11.8,54,4249,3.3,7,3.4,0.76,80,0.33,red
1534,10.9,0.037,0.41,0.9914,7,22,1535,3.25,6,0.9,0.43,95,0.14,white
